time,G (W/m^2),Tamb (C),charge rate,discharge rate,Tb,SOC,SOH/ any degradation measure
01/01/2019 0:00,0,7.784,,,,,
01/01/2019 1:00,0,7.983,,,,,
01/01/2019 2:00,0,8.088,,,,,
01/01/2019 3:00,0,8.189,,,,,
01/01/2019 4:00,0,8.216,,,,,
01/01/2019 5:00,0,8.008,,,,,
01/01/2019 6:00,0,7.33,,,,,
01/01/2019 7:00,0,6.4,,,,,
01/01/2019 8:00,8.44,5.725,,,,,
01/01/2019 9:00,71.637,6.236,,,,,
01/01/2019 10:00,139.705,6.553,,,,,
01/01/2019 11:00,203.426,6.991,,,,,
01/01/2019 12:00,207.861,7.383,,,,,
01/01/2019 13:00,170.622,7.298,,,,,
01/01/2019 14:00,99.06,6.444,,,,,
01/01/2019 15:00,18.862,3.996,,,,,
01/01/2019 16:00,0,2.522,,,,,
01/01/2019 17:00,0,1.879,,,,,
01/01/2019 18:00,0,1.273,,,,,
01/01/2019 19:00,0,0.804,,,,,
01/01/2019 20:00,0,0.183,,,,,
01/01/2019 21:00,0,-0.397,,,,,
01/01/2019 22:00,0,-0.9,,,,,
01/01/2019 23:00,0,-1.27,,,,,
