time (UTC),G (W/m^2),Tamb (C),generation_kw
2019/01/01 00:00,0,7.784,0
2019/01/01 01:00,0,7.983,0
2019/01/01 02:00,0,8.088,0
2019/01/01 03:00,0,8.189,0
2019/01/01 04:00,0,8.216,0
2019/01/01 05:00,0,8.008,0
2019/01/01 06:00,0,7.33,0
2019/01/01 07:00,0,6.4,0
2019/01/01 08:00,8.44,5.725,0.008
2019/01/01 09:00,71.637,6.236,0.133
2019/01/01 10:00,139.705,6.553,0.268
2019/01/01 11:00,203.426,6.991,0.43
2019/01/01 12:00,207.861,7.383,0.438
2019/01/01 13:00,170.622,7.298,0.369
2019/01/01 14:00,99.06,6.444,0.22
2019/01/01 15:00,18.862,3.996,0.041
2019/01/01 16:00,0,2.522,0
2019/01/01 17:00,0,1.879,0
2019/01/01 18:00,0,1.273,0
2019/01/01 19:00,0,0.804,0
2019/01/01 20:00,0,0.183,0
2019/01/01 21:00,0,-0.397,0
2019/01/01 22:00,0,-0.9,0
2019/01/01 23:00,0,-1.27,0
2019/01/02 00:00,0,-1.402,0
2019/01/02 01:00,0,-1.276,0
2019/01/02 02:00,0,-1.125,0
2019/01/02 03:00,0,-0.977,0
2019/01/02 04:00,0,-0.938,0
2019/01/02 05:00,0,-0.83,0
2019/01/02 06:00,0,-0.786,0
2019/01/02 07:00,0,-0.768,0
2019/01/02 08:00,8.291,-0.593,0.006
2019/01/02 09:00,66.222,1.055,0.098
2019/01/02 10:00,125.304,2.424,0.191
2019/01/02 11:00,158.908,3.304,0.239
2019/01/02 12:00,157.422,4.272,0.225
2019/01/02 13:00,118.499,4.44,0.149
2019/01/02 14:00,65.3,3.755,0.07
2019/01/02 15:00,12.276,2.491,0.008
2019/01/02 16:00,0,1.751,0
2019/01/02 17:00,0,1.427,0
2019/01/02 18:00,0,1.305,0
2019/01/02 19:00,0,1.39,0
2019/01/02 20:00,0,1.3,0
2019/01/02 21:00,0,1.026,0
2019/01/02 22:00,0,0.587,0
2019/01/02 23:00,0,0.201,0
2019/01/03 00:00,0,-0.24,0
2019/01/03 01:00,0,-0.725,0
2019/01/03 02:00,0,-0.922,0
2019/01/03 03:00,0,-1.044,0
2019/01/03 04:00,0,-1.231,0
2019/01/03 05:00,0,-1.307,0
2019/01/03 06:00,0,-1.278,0
2019/01/03 07:00,0,-1.068,0
2019/01/03 08:00,10.085,-0.794,0.015
2019/01/03 09:00,83.399,-0.135,0.199
2019/01/03 10:00,159.363,0.844,0.36
2019/01/03 11:00,203.754,1.763,0.439
2019/01/03 12:00,206.995,2.675,0.438
2019/01/03 13:00,170.704,2.594,0.369
2019/01/03 14:00,100.429,1.752,0.223
2019/01/03 15:00,20.706,0.661,0.05
2019/01/03 16:00,0,-0.241,0
2019/01/03 17:00,0,-0.569,0
2019/01/03 18:00,0,-0.956,0
2019/01/03 19:00,0,-1.44,0
2019/01/03 20:00,0,-2.078,0
2019/01/03 21:00,0,-2.424,0
2019/01/03 22:00,0,-2.645,0
2019/01/03 23:00,0,-3.104,0
2019/01/04 00:00,0,-3.23,0
2019/01/04 01:00,0,-3.252,0
2019/01/04 02:00,0,-3.272,0
2019/01/04 03:00,0,-3.275,0
2019/01/04 04:00,0,-3.262,0
2019/01/04 05:00,0,-3.264,0
2019/01/04 06:00,0,-3.177,0
2019/01/04 07:00,0,-2.966,0
2019/01/04 08:00,9.581,-2.422,0.008
2019/01/04 09:00,56.76,-0.808,0.064
2019/01/04 10:00,98.595,0.26,0.108
2019/01/04 11:00,125.645,1.169,0.14
2019/01/04 12:00,135.506,1.963,0.16
2019/01/04 13:00,128.747,2.368,0.173
2019/01/04 14:00,82.183,1.918,0.114
2019/01/04 15:00,16.052,0.545,0.016
2019/01/04 16:00,0,0.054,0
2019/01/04 17:00,0,0.143,0
