SOC,OCV,R-15,R30,R0
0,0,0,0,0
0.01,331.1657646,1.243239647,0.307814626,1.064889545
0.02,332.7480054,1.243239647,0.294430226,1.064889545
0.03,334.233056,1.243239647,0.281725607,1.064889545
0.04,335.6270053,1.243239647,0.269679875,1.064889545
0.05,336.9357021,1.243239647,0.258272433,1.064889545
0.06,338.1647595,1.243239647,0.24748298,1.064889545
0.07,339.3195599,1.243239647,0.237291517,1.064889545
0.08,340.4052595,1.243239647,0.22767834,1.064889545
0.09,341.4267927,1.243239647,0.218624044,1.064889545
0.1,342.3888773,1.243239647,0.21010952,1.064889545
0.11,343.2960189,1.243239647,0.202115959,1.064889545
0.12,344.1525155,1.243239647,0.19462485,1.064889545
0.13,344.9624621,1.243239647,0.187617979,1.064889545
0.14,345.7297558,1.243239647,0.181077429,1.064889545
0.15,346.4580998,1.243239647,0.174985583,1.064889545
0.16,347.1510087,1.243239647,0.169325119,1.064889545
0.17,347.8118128,1.243239647,0.164079017,1.064889545
0.18,348.4436628,1.243239647,0.159230551,1.064889545
0.19,349.0495345,1.243239647,0.154763295,1.064889545
0.2,349.6322336,1.243239647,0.15066112,1.036729003
0.21,350.1944002,1.243239647,0.146908196,0.989794765
0.22,350.7385134,1.243239647,0.143488989,0.91751604
0.23,351.2668963,1.243239647,0.140388264,0.844298629
0.24,351.7817203,1.243239647,0.137591085,0.771081219
0.25,352.2850098,1.243239647,0.135082813,0.697863809
0.26,352.7786471,1.243239647,0.132849105,0.625585083
0.27,353.264377,1.243239647,0.130875918,0.522329761
0.28,353.7438113,1.243239647,0.129149507,0.449112351
0.29,354.2184336,1.243239647,0.127656424,0.373078886
0.3,354.6896039,1.23197543,0.12638352,0.314880432
0.31,355.1585633,1.181286454,0.125317942,0.305493584
0.32,355.6264386,1.125904054,0.124447137,0.305493584
0.33,356.0942472,1.070521654,0.123758847,0.298140211
0.34,356.5629015,1.015139253,0.123241116,0.289535943
0.35,357.0332135,0.959756853,0.122882283,0.283903835
0.36,357.5058998,0.904374453,0.122670984,0.279210411
0.37,357.9815861,0.84242126,0.122596157,0.269699142
0.38,358.4608117,0.78703886,0.122647033,0.267007509
0.39,358.9440345,0.73165646,0.122813144,0.261375401
0.4,359.4316352,0.683783537,0.12308432,0.255743293
0.41,359.9239226,0.659377734,0.123450687,0.261309851
0.42,360.4211375,0.639665354,0.12390267,0.260756825
0.43,360.9234582,0.619952975,0.124430992,0.260522407
0.44,361.4310044,0.60117928,0.125026673,0.260493871
0.45,361.9438424,0.57958953,0.125681033,0.260576907
0.46,362.4619895,0.559877151,0.126385686,0.260694064
0.47,362.9854186,0.541103456,0.127132549,0.260783249
0.48,363.5140632,0.521391076,0.127913832,0.260796284
0.49,364.0478218,0.501678696,0.128722047,0.260697518
0.5,364.5865625,0.484782371,0.12955,0.2604625
0.51,365.130128,0.479150262,0.130390798,0.260076708
0.52,365.6783399,0.475395523,0.131237845,0.259534331
0.53,366.2310035,0.471640784,0.132084842,0.258837116
0.54,366.7879127,0.467886045,0.132925789,0.257993264
0.55,367.3488541,0.464131307,0.133754983,0.257016388
0.56,367.9136124,0.460376568,0.134567019,0.255924531
0.57,368.4819743,0.456621829,0.135356791,0.25473923
0.58,369.0537339,0.453805774,0.136119489,0.253484653
0.59,369.6286967,0.450051035,0.136850603,0.252186778
0.6,370.2066848,0.447234981,0.13754592,0.25087264
0.61,370.7875412,0.443480242,0.138201524,0.249569629
0.62,371.3711346,0.441602873,0.138813798,0.24830485
0.63,371.9573642,0.439725503,0.139379422,0.247104535
0.64,372.5461641,0.435970764,0.139895375,0.245993514
0.65,373.1375081,0.434093395,0.140358933,0.244994749
0.66,373.7314145,0.432216025,0.14076767,0.244128916
0.67,374.3279504,0.428461286,0.141119458,0.243414047
0.68,374.9272368,0.426583917,0.141412468,0.242865237
0.69,375.5294529,0.424706547,0.141645166,0.242494394
0.7,376.1348411,0.422829178,0.14181632,0.24231006
0.71,376.7437113,0.422829178,0.141924992,0.24231728
0.72,377.3564458,0.422829178,0.141970544,0.242517533
0.73,377.973504,0.422829178,0.141952635,0.242908717
0.74,378.5954269,0.424706547,0.141871223,0.243485194
0.75,379.2228418,0.424706547,0.141726563,0.244237891
0.76,379.8564671,0.424706547,0.141519207,0.245154457
0.77,380.4971169,0.426583917,0.141250007,0.246219479
0.78,381.1457055,0.426583917,0.140920112,0.247414757
0.79,381.8032523,0.426583917,0.140530968,0.248719629
0.8,382.4708864,0.428461286,0.14008432,0.25011136
0.81,383.1498511,0.428461286,0.13958221,0.251565589
0.82,383.8415088,0.428461286,0.13902698,0.253056825
0.83,384.5473456,0.430338656,0.138421266,0.254559012
0.84,385.2689758,0.430338656,0.137768006,0.256046138
0.85,386.0081468,0.430338656,0.137070433,0.257492912
0.86,386.7667435,0.432216025,0.136332079,0.258875494
0.87,387.5467934,0.432216025,0.135556774,0.260172281
0.88,388.3504706,0.432216025,0.134748646,0.261364751
0.89,389.1801013,0.434093395,0.13391212,0.262438369
0.9,390.0381677,0.434093395,0.13305192,0.26338354
0.91,390.927313,0.435970764,0.132173067,0.264196628
0.92,391.8503462,0.435970764,0.131280881,0.26488103
0.93,392.8102464,0.437848134,0.130380979,0.265448306
0.94,393.8101679,0.439725503,0.129479275,0.265919365
0.95,394.8534445,0.439725503,0.128581983,0.266325713
0.96,395.9435942,0.441602873,0.127695613,0.266710752
0.97,397.0843243,0.443480242,0.126826974,0.267131141
0.98,398.2795355,0.443480242,0.125983173,0.267658213
0.99,399.5333267,0.445357612,0.125171614,0.268379447
