time (UTC),Tamb (C),G (W/m^2)
01/01/2019 00:00:00,7.78,0
01/01/2019 01:00:00,7.979,0
01/01/2019 02:00:00,8.085,0
01/01/2019 03:00:00,8.186,0
01/01/2019 04:00:00,8.213,0
01/01/2019 05:00:00,8.008,0
01/01/2019 06:00:00,7.335,0
01/01/2019 07:00:00,6.409,0
01/01/2019 08:00:00,5.736,8.443
01/01/2019 09:00:00,6.247,71.605
01/01/2019 10:00:00,6.563,139.624
01/01/2019 11:00:00,6.999,203.452
01/01/2019 12:00:00,7.388,207.915
01/01/2019 13:00:00,7.301,170.679
01/01/2019 14:00:00,6.447,99.107
01/01/2019 15:00:00,4,18.884
01/01/2019 16:00:00,2.525,0
01/01/2019 17:00:00,1.882,0
01/01/2019 18:00:00,1.276,0
01/01/2019 19:00:00,0.807,0
01/01/2019 20:00:00,0.185,0
01/01/2019 21:00:00,-0.396,0
01/01/2019 22:00:00,-0.899,0
01/01/2019 23:00:00,-1.269,0
02/01/2019 00:00:00,-1.403,0
02/01/2019 01:00:00,-1.279,0
02/01/2019 02:00:00,-1.129,0
02/01/2019 03:00:00,-0.982,0
02/01/2019 04:00:00,-0.942,0
02/01/2019 05:00:00,-0.836,0
02/01/2019 06:00:00,-0.793,0
02/01/2019 07:00:00,-0.776,0
02/01/2019 08:00:00,-0.601,8.312
02/01/2019 09:00:00,1.049,66.328
02/01/2019 10:00:00,2.421,125.475
02/01/2019 11:00:00,3.302,159.091
02/01/2019 12:00:00,4.272,157.604
02/01/2019 13:00:00,4.44,118.613
02/01/2019 14:00:00,3.755,65.367
02/01/2019 15:00:00,2.49,12.298
02/01/2019 16:00:00,1.751,0
02/01/2019 17:00:00,1.428,0
02/01/2019 18:00:00,1.306,0
02/01/2019 19:00:00,1.391,0
02/01/2019 20:00:00,1.301,0
02/01/2019 21:00:00,1.027,0
02/01/2019 22:00:00,0.589,0
02/01/2019 23:00:00,0.203,0
03/01/2019 00:00:00,-0.237,0
03/01/2019 01:00:00,-0.72,0
03/01/2019 02:00:00,-0.917,0
03/01/2019 03:00:00,-1.039,0
03/01/2019 04:00:00,-1.226,0
03/01/2019 05:00:00,-1.302,0
03/01/2019 06:00:00,-1.274,0
03/01/2019 07:00:00,-1.063,0
03/01/2019 08:00:00,-0.79,10.091
03/01/2019 09:00:00,-0.131,83.379
03/01/2019 10:00:00,0.848,159.322
03/01/2019 11:00:00,1.768,203.697
03/01/2019 12:00:00,2.677,206.916
03/01/2019 13:00:00,2.596,170.655
03/01/2019 14:00:00,1.756,100.414
03/01/2019 15:00:00,0.666,20.722
03/01/2019 16:00:00,-0.235,0
03/01/2019 17:00:00,-0.563,0
03/01/2019 18:00:00,-0.95,0
03/01/2019 19:00:00,-1.433,0
03/01/2019 20:00:00,-2.071,0
03/01/2019 21:00:00,-2.417,0
03/01/2019 22:00:00,-2.638,0
03/01/2019 23:00:00,-3.101,0
04/01/2019 00:00:00,-3.229,0
04/01/2019 01:00:00,-3.251,0
04/01/2019 02:00:00,-3.271,0
04/01/2019 03:00:00,-3.275,0
04/01/2019 04:00:00,-3.264,0
04/01/2019 05:00:00,-3.267,0
04/01/2019 06:00:00,-3.181,0
04/01/2019 07:00:00,-2.971,0
04/01/2019 08:00:00,-2.428,9.599
04/01/2019 09:00:00,-0.815,56.842
04/01/2019 10:00:00,0.253,98.712
04/01/2019 11:00:00,1.162,125.732
04/01/2019 12:00:00,1.956,135.538
04/01/2019 13:00:00,2.362,128.79
04/01/2019 14:00:00,1.913,82.273
04/01/2019 15:00:00,0.538,16.085
04/01/2019 16:00:00,0.046,0
04/01/2019 17:00:00,0.135,0
04/01/2019 18:00:00,0.203,0
04/01/2019 19:00:00,0.252,0
04/01/2019 20:00:00,0.253,0
04/01/2019 21:00:00,0.234,0
04/01/2019 22:00:00,0.081,0
04/01/2019 23:00:00,-0.246,0
05/01/2019 00:00:00,-0.378,0
05/01/2019 01:00:00,-0.49,0
05/01/2019 02:00:00,-0.551,0
05/01/2019 03:00:00,-0.53,0
05/01/2019 04:00:00,-0.357,0
05/01/2019 05:00:00,-0.155,0
05/01/2019 06:00:00,0.042,0
05/01/2019 07:00:00,0.222,0
05/01/2019 08:00:00,0.377,5.459
05/01/2019 09:00:00,1.185,37.239
05/01/2019 10:00:00,2.301,83.612
05/01/2019 11:00:00,3.3,110.984
05/01/2019 12:00:00,3.962,117.318
05/01/2019 13:00:00,4.046,95.975
05/01/2019 14:00:00,3.25,51.149
05/01/2019 15:00:00,2.119,9.738
05/01/2019 16:00:00,1.825,0
05/01/2019 17:00:00,1.789,0
05/01/2019 18:00:00,1.849,0
05/01/2019 19:00:00,2.011,0
05/01/2019 20:00:00,2.19,0
05/01/2019 21:00:00,2.284,0
05/01/2019 22:00:00,2.345,0
05/01/2019 23:00:00,2.192,0
06/01/2019 00:00:00,2.121,0
06/01/2019 01:00:00,2.083,0
06/01/2019 02:00:00,1.944,0
06/01/2019 03:00:00,1.813,0
06/01/2019 04:00:00,1.94,0
06/01/2019 05:00:00,2.356,0
06/01/2019 06:00:00,3.161,0
06/01/2019 07:00:00,3.619,0
06/01/2019 08:00:00,3.872,2.385
06/01/2019 09:00:00,4.523,20.196
06/01/2019 10:00:00,5.224,49.139
06/01/2019 11:00:00,5.965,80.451
06/01/2019 12:00:00,6.616,107.751
06/01/2019 13:00:00,6.841,95.271
06/01/2019 14:00:00,6.434,56.847
06/01/2019 15:00:00,5.349,10.955
06/01/2019 16:00:00,5.112,0
06/01/2019 17:00:00,5.328,0
06/01/2019 18:00:00,5.24,0
06/01/2019 19:00:00,5.103,0
06/01/2019 20:00:00,4.946,0
06/01/2019 21:00:00,4.743,0
06/01/2019 22:00:00,4.637,0
06/01/2019 23:00:00,4.678,0
07/01/2019 00:00:00,4.607,0
07/01/2019 01:00:00,4.543,0
07/01/2019 02:00:00,4.736,0
07/01/2019 03:00:00,4.914,0
07/01/2019 04:00:00,4.952,0
07/01/2019 05:00:00,4.954,0
07/01/2019 06:00:00,4.908,0
07/01/2019 07:00:00,4.98,0
07/01/2019 08:00:00,5.668,3.798
07/01/2019 09:00:00,6.647,21.481
07/01/2019 10:00:00,7.622,54.347
07/01/2019 11:00:00,8.744,104.834
07/01/2019 12:00:00,9.388,117.35
07/01/2019 13:00:00,9.513,49.484
07/01/2019 14:00:00,9.381,14.412
07/01/2019 15:00:00,9.241,3.059
07/01/2019 16:00:00,9.134,0
07/01/2019 17:00:00,8.601,0
07/01/2019 18:00:00,7.529,0
07/01/2019 19:00:00,6.694,0
07/01/2019 20:00:00,6.293,0
07/01/2019 21:00:00,6.012,0
07/01/2019 22:00:00,5.775,0
07/01/2019 23:00:00,5.702,0
08/01/2019 00:00:00,5.691,0
08/01/2019 01:00:00,5.883,0
08/01/2019 02:00:00,6.053,0
08/01/2019 03:00:00,6.059,0
08/01/2019 04:00:00,5.982,0
08/01/2019 05:00:00,5.806,0
08/01/2019 06:00:00,5.586,0
08/01/2019 07:00:00,5.114,0
08/01/2019 08:00:00,4.745,6.972
08/01/2019 09:00:00,4.826,85.343
08/01/2019 10:00:00,5.531,168.636
08/01/2019 11:00:00,6.391,216.081
08/01/2019 12:00:00,6.947,219.979
08/01/2019 13:00:00,7.003,183.491
08/01/2019 14:00:00,6.354,111.004
08/01/2019 15:00:00,4.72,25.609
08/01/2019 16:00:00,2.987,0
08/01/2019 17:00:00,2.551,0
08/01/2019 18:00:00,2.159,0
08/01/2019 19:00:00,2.015,0
08/01/2019 20:00:00,2.152,0
08/01/2019 21:00:00,1.962,0
08/01/2019 22:00:00,1.705,0
08/01/2019 23:00:00,1.392,0
09/01/2019 00:00:00,1.309,0
09/01/2019 01:00:00,0.758,0
09/01/2019 02:00:00,0.538,0
09/01/2019 03:00:00,0.03,0
09/01/2019 04:00:00,-0.289,0
09/01/2019 05:00:00,-0.469,0
09/01/2019 06:00:00,-0.553,0
09/01/2019 07:00:00,-0.55,0
09/01/2019 08:00:00,-0.368,10.98
